county,year,minTemperature,maxTemperature,windSpeed,pressure,humidity,summary,visibility,cloudCover
Carlow,2000,-1.53,6.08,0.53,1023.81,0.96,Mostly cloudy throughout the day.,null,0.65
Carlow,2001,7.27,10.88,7.03,974.68,0.86,Mostly cloudy throughout the day and breezy in the afternoon.,null,0.76
Carlow,2002,-7.04,6.62,2.43,1031.54,0.85,Mostly cloudy throughout the day.,null,0.56
Carlow,2003,7.27,12.07,2.51,989.89,0.93,Mostly cloudy throughout the day.,null,0.78
Carlow,2004,3.88,8.48,6.2,1012.63,0.75,Breezy in the morning and mostly cloudy overnight.,null,0.38
Carlow,2005,2.67,11.77,5.42,1014.71,0.84,Mostly cloudy until afternoon and breezy in the afternoon.,null,0.56
Carlow,2006,5.89,7.98,5.7,1011.45,0.82,Mostly cloudy throughout the day.,null,0.63
Carlow,2007,4.27,6.28,4.7,1014.23,0.83,Mostly cloudy throughout the day.,null,0.67
Carlow,2008,7.57,11.07,3.99,1017.17,0.91,Mostly cloudy throughout the day.,null,0.79
Carlow,2009,-1.01,3.98,1.05,1028.81,0.92,Mostly cloudy throughout the day.,null,0.7
Carlow,2010,-3.25,0.15,1.22,1011.66,0.96,Mostly cloudy throughout the day.,null,0.7
Carlow,2011,3.29,7.76,1.01,1028.51,0.97,Mostly cloudy throughout the day.,null,0.7
Carlow,2012,3.13,9.84,5.04,999.15,0.82,Rain in the morning and overnight.,null,0.7
Carlow,2013,2.53,7.25,4.03,1010.5,0.82,Mostly cloudy throughout the day.,null,0.7
Carlow,2014,3.24,10.25,2.47,979.72,0.96,Rain until afternoon, starting again overnight.,null,0.7
Carlow,2015,8.79,14.17,6.62,1015.67,0.88,Rain until afternoon, starting again in the evening, and breezy until evening.,null,0.7
Carlow,2016,-0.18,9.31,5.11,1011.87,0.94,Rain throughout the day.,null,0.7
Carlow,2017,2.07,7.11,3.16,1011.75,0.81,Mostly cloudy throughout the day.,null,0.7
Carlow,2018,2.9,8.19,3.47,1010.94,0.78,Mostly cloudy throughout the day.,null,0.7
Waterford,2000,-1.43,6.18,0.53,1023.81,0.95,Mostly cloudy throughout the day.,null,0.64
Waterford,2001,7.37,10.98,7.03,974.68,0.86,Mostly cloudy throughout the day and breezy in the afternoon.,null,0.76
Waterford,2002,-6.94,7.6,2.44,1031.57,0.84,Mostly cloudy throughout the day.,null,0.56
Waterford,2003,7.37,12.18,2.51,989.89,0.93,Mostly cloudy throughout the day.,null,0.77
Waterford,2004,3.98,8.59,6.2,1012.63,0.74,Mostly cloudy overnight.,null,0.38
Waterford,2005,2.77,11.88,5.42,1014.71,0.84,Mostly cloudy until afternoon and windy in the afternoon.,null,0.55
Waterford,2006,6.96,8.63,3.84,1011.48,0.83,Mostly cloudy throughout the day.,null,0.62
Waterford,2007,4.37,6.38,4.7,1014.23,0.82,Mostly cloudy throughout the day.,null,0.67
Waterford,2008,8.14,10.92,3.99,1017.67,0.9,Mostly cloudy throughout the day.,null,0.79
Waterford,2009,0.63,3.37,2.03,1028.48,0.97,Mostly cloudy throughout the day.,null,0.7
Waterford,2010,-0.42,2.56,1.51,1011,0.77,Mostly cloudy throughout the day.,null,0.7
Waterford,2011,-7.14,-3.39,0.88,1027.97,1,Mostly cloudy throughout the day.,null,0.7
Waterford,2012,3.58,10.34,4.79,1000.39,0.88,Mostly cloudy throughout the day.,null,0.7
Waterford,2013,3.13,7.59,2.51,1010.9,0.84,Mostly cloudy throughout the day.,null,0.7
Waterford,2014,6.72,10.36,2.13,981.33,0.9,Rain in the morning.,7.68,0.66
Waterford,2015,9.96,11.92,4.73,1017.66,0.96,Rain until afternoon.,3.48,0.82
Waterford,2016,0.66,9.9,5.58,1005.95,0.91,Rain throughout the day.,6.73,0.7
Waterford,2017,2.38,9.95,2.18,1013.6,0.87,Partly cloudy throughout the day.,10.01,0.49
Waterford,2018,4.08,9.18,2.97,1000.15,0.81,Mostly cloudy throughout the day.,10.01,0.62
Louth,2000,1.3,6.31,4.59,1020.91,0.85,Mostly cloudy throughout the day.,null,0.72
Louth,2001,5.9,10,6.58,974.68,0.84,Mostly cloudy throughout the day.,null,0.72
Louth,2002,-3.02,6.11,3.29,1032.84,0.86,Mostly cloudy throughout the day.,null,0.72
Louth,2003,7.31,10.89,2.01,988.53,0.92,Mostly cloudy throughout the day.,null,0.72
Louth,2004,4.59,8.2,6.87,1009.05,0.79,Mostly cloudy throughout the day.,null,0.72
Louth,2005,1.7,9.29,5.95,1009.65,0.87,Mostly cloudy throughout the day.,null,0.72
Louth,2006,3.14,8.29,5.74,1008.43,0.83,Mostly cloudy throughout the day.,null,0.72
Louth,2007,2.2,5.6,6.1,1008.12,0.84,Mostly cloudy throughout the day.,null,0.72
Louth,2008,7.59,11.09,4.24,1016.94,0.91,Mostly cloudy throughout the day.,null,0.72
Louth,2009,-1.3,3.13,0.57,1029.76,0.92,Mostly cloudy throughout the day.,null,0.72
Louth,2010,-1.59,2.42,3.82,1010.45,0.85,Mostly cloudy throughout the day.,null,0.72
Louth,2011,2.2,6.89,3.3,1027.64,0.92,Mostly cloudy throughout the day.,null,0.72
Louth,2012,1.93,8.74,5.74,994.71,0.81,Light rain in the morning and overnight.,null,0.72
Louth,2013,2.5,6.49,4.3,1006.25,0.85,Mostly cloudy throughout the day.,null,0.72
Louth,2014,2.68,6.99,1.37,978.67,0.93,Mostly cloudy throughout the day.,null,0.72
Louth,2015,7.09,13.89,7.41,1010.64,0.91,Mostly cloudy throughout the day.,null,0.72
Louth,2016,0.08,8.59,5.57,1007.34,0.89,Light rain in the afternoon and evening and windy starting in the afternoon, continuing until evening.,null,0.72
Louth,2017,3.36,6.68,3.96,1012.36,0.89,Mostly cloudy throughout the day.,null,0.72
Louth,2018,3.48,8.31,4.91,994.25,0.15,Mostly cloudy throughout the day.,null,0.72
Dublin,2000,1.63,8.38,4.39,1022.73,0.85,Mostly cloudy starting in the afternoon.,null,0.32
Dublin,2001,7.16,10.78,6.24,975.39,0.82,Mostly cloudy throughout the day.,null,0.62
Dublin,2002,-4.39,7.2,3.12,1032.84,0.82,Partly cloudy starting in the afternoon.,null,0.26
Dublin,2003,8.59,11.61,4.07,990.15,0.9,Mostly cloudy throughout the day.,null,0.89
